date,알러지,대상포진,수족구병,장염,식중독,감기,인플루엔자,동상
2020-05-25,33,100,,68,0.0,100,0.0,59
2020-05-26,59,54,,56,0.0,65,80.0,44
2020-05-27,61,66,,54,73.0,66,0.0,0
2020-05-28,47,69,,62,0.0,80,0.0,0
2020-05-29,52,52,,56,0.0,49,0.0,69
2020-05-30,0,96,,64,0.0,53,0.0,0
2020-05-31,63,53,,53,0.0,92,100.0,0
2020-06-01,67,100,,60,0.0,84,0.0,62
2020-06-02,47,51,,58,0.0,81,0.0,0
2020-06-03,52,45,,64,0.0,77,0.0,86
2020-06-04,53,55,,79,33.0,87,0.0,58
2020-06-05,47,43,,71,0.0,87,0.0,68
2020-06-06,62,57,,44,0.0,75,0.0,0
2020-06-07,87,52,,87,0.0,55,0.0,79
2020-06-08,0,73,,69,31.0,80,0.0,0
2020-06-09,76,58,,80,0.0,39,0.0,70
2020-06-10,75,30,,82,39.0,74,0.0,52
2020-06-11,67,74,,55,0.0,70,0.0,88
2020-06-12,47,48,,56,32.0,65,0.0,75
2020-06-13,64,66,,77,0.0,75,0.0,66
2020-06-14,63,58,,60,0.0,38,0.0,94
2020-06-15,62,62,,48,0.0,30,0.0,0
2020-06-16,68,51,,63,27.0,31,0.0,54
2020-06-17,42,43,,73,32.0,80,0.0,98
2020-06-18,81,64,,58,0.0,72,0.0,88
2020-06-19,59,62,,66,0.0,59,0.0,80
2020-06-20,58,58,,75,0.0,69,0.0,0
2020-06-21,53,71,,100,0.0,100,0.0,88
2020-06-22,65,38,,68,47.0,73,0.0,61
2020-06-23,62,73,,74,59.0,66,0.0,100
2020-06-24,39,66,,98,28.0,86,0.0,69
2020-06-25,0,60,,67,69.0,67,0.0,0
2020-06-26,83,62,,81,100.0,75,100.0,63
2020-06-27,100,44,,54,73.0,93,0.0,63
2020-06-28,54,82,,82,49.0,78,0.0,0
2020-06-29,42,85,,85,55.0,72,93.0,70
2020-06-30,50,41,,85,53.0,70,0.0,69
2020-07-01,74,63,,68,53.0,78,0.0,66
2020-07-02,70,84,,63,100.0,89,100.0,0
2020-07-03,64,60,,73,60.0,68,0.0,54
2020-07-04,46,85,,54,0.0,65,0.0,0
2020-07-05,44,50,,77,0.0,100,0.0,86
2020-07-06,64,79,,57,44.0,83,0.0,100
2020-07-07,68,62,,36,49.0,74,0.0,57
2020-07-08,57,56,,53,48.0,52,0.0,0
2020-07-09,48,57,,87,0.0,87,0.0,69
2020-07-10,69,75,,63,55.0,56,0.0,0
2020-07-11,51,72,,75,0.0,80,0.0,84
2020-07-12,46,47,,67,0.0,90,0.0,0
2020-07-13,71,72,,52,47.0,73,0.0,64
2020-07-14,0,74,,54,0.0,54,0.0,0
2020-07-15,63,100,,63,0.0,85,0.0,75
2020-07-16,0,86,,74,61.0,98,0.0,47
2020-07-17,64,69,,70,60.0,76,0.0,89
2020-07-18,76,65,,70,0.0,66,0.0,85
2020-07-19,46,69,,54,0.0,65,0.0,0
2020-07-20,52,92,,87,0.0,83,0.0,0
2020-07-21,51,61,,100,60.0,38,0.0,52
